site,elevation_m,rho_r,f,k,ci_profile,makespan_h,IT_energy_kWh,facility_energy_kWh,run_PUE,carbon_kg,carbon_t
Xining,2266.0,0.7998752790424368,0.96,4,coal,3.7431,1254.4,1420.7,1.13257,1032.7,1.0327
Xining,2266.0,0.7998752790424368,0.96,8,qinghai,3.6823,1274.84,1443.86,1.13257,177.6,0.1776
Xining,2266.0,0.7998752790424368,0.96,8,coal,3.6823,1274.84,1443.86,1.13257,1049.3,1.0493
Xining,2266.0,0.7998752790424368,0.96,16,qinghai,3.648,1284.67,1454.98,1.13257,179.0,0.179
Xining,2266.0,0.7998752790424368,0.96,16,coal,3.648,1284.67,1454.98,1.13257,1057.3,1.0573
Xining,2266.0,0.7998752790424368,0.96,32,qinghai,3.6299,1289.48,1460.43,1.13257,179.6,0.1796
Xining,2266.0,0.7998752790424368,0.96,32,coal,3.6299,1289.48,1460.43,1.13257,1061.2,1.0612
Xining,2266.0,0.7998752790424368,0.96,64,qinghai,3.6206,1291.86,1463.12,1.13257,180.0,0.18
Xining,2266.0,0.7998752790424368,0.96,64,coal,3.6206,1291.86,1463.12,1.13257,1063.1,1.0631
Xining,2266.0,0.7998752790424368,1.0,1,qinghai,3.8889,1109.33,1251.84,1.12846,154.0,0.154
Xining,2266.0,0.7998752790424368,1.0,1,coal,3.8889,1109.33,1251.84,1.12846,910.3,0.9103
Xining,2266.0,0.7998752790424368,1.0,2,qinghai,3.8333,1210.31,1365.79,1.12846,168.0,0.168
Xining,2266.0,0.7998752790424368,1.0,2,coal,3.8333,1210.31,1365.79,1.12846,993.0,0.993
Xining,2266.0,0.7998752790424368,1.0,4,qinghai,3.7431,1254.4,1415.55,1.12846,174.1,0.1741
Xining,2266.0,0.7998752790424368,1.0,4,coal,3.7431,1254.4,1415.55,1.12846,1028.9,1.0289
Xining,2266.0,0.7998752790424368,1.0,8,qinghai,3.6823,1274.84,1438.62,1.12846,177.0,0.177
Xining,2266.0,0.7998752790424368,1.0,8,coal,3.6823,1274.84,1438.62,1.12846,1045.5,1.0455
Xining,2266.0,0.7998752790424368,1.0,16,qinghai,3.648,1284.67,1449.7,1.12846,178.3,0.1783
Xining,2266.0,0.7998752790424368,1.0,16,coal,3.648,1284.67,1449.7,1.12846,1053.5,1.0535
Xining,2266.0,0.7998752790424368,1.0,32,qinghai,3.6299,1289.48,1455.13,1.12846,179.0,0.179
Xining,2266.0,0.7998752790424368,1.0,32,coal,3.6299,1289.48,1455.13,1.12846,1057.3,1.0573
Xining,2266.0,0.7998752790424368,1.0,64,qinghai,3.6206,1291.86,1457.82,1.12846,179.3,0.1793
Xining,2266.0,0.7998752790424368,1.0,64,coal,3.6206,1291.86,1457.82,1.12846,1059.3,1.0593
Beijing,35.4,0.996605913780471,0.6,1,qinghai,3.8889,1109.33,1275.83,1.15009,157.0,0.157
Beijing,35.4,0.996605913780471,0.6,1,coal,3.8889,1109.33,1275.83,1.15009,927.7,0.9277
Beijing,35.4,0.996605913780471,0.6,2,qinghai,3.8333,1210.31,1391.98,1.1501,171.3,0.1713
Beijing,35.4,0.996605913780471,0.6,2,coal,3.8333,1210.31,1391.98,1.1501,1012.0,1.012
Beijing,35.4,0.996605913780471,0.6,4,qinghai,3.7431,1254.4,1442.72,1.15013,177.5,0.1775
Beijing,35.4,0.996605913780471,0.6,4,coal,3.7431,1254.4,1442.72,1.15013,1048.7,1.0487
Beijing,35.4,0.996605913780471,0.6,8,qinghai,3.6823,1274.84,1466.26,1.15015,180.4,0.1804
Beijing,35.4,0.996605913780471,0.6,8,coal,3.6823,1274.84,1466.26,1.15015,1065.6,1.0656
Beijing,35.4,0.996605913780471,0.6,16,qinghai,3.648,1284.67,1477.57,1.15016,181.7,0.1817
Beijing,35.4,0.996605913780471,0.6,16,coal,3.648,1284.67,1477.57,1.15016,1073.7,1.0737
Beijing,35.4,0.996605913780471,0.6,32,qinghai,3.6299,1289.48,1483.11,1.15016,182.4,0.1824
Beijing,35.4,0.996605913780471,0.6,32,coal,3.6299,1289.48,1483.11,1.15016,1077.7,1.0777
Beijing,35.4,0.996605913780471,0.6,64,qinghai,3.6206,1291.86,1485.85,1.15017,182.8,0.1828
Beijing,35.4,0.996605913780471,0.6,64,coal,3.6206,1291.86,1485.85,1.15017,1079.6,1.0796
Beijing,35.4,0.996605913780471,0.8,1,qinghai,3.8889,1109.33,1261.94,1.13757,155.3,0.1553
Beijing,35.4,0.996605913780471,0.8,1,coal,3.8889,1109.33,1261.94,1.13757,917.6,0.9176
Beijing,35.4,0.996605913780471,0.8,2,qinghai,3.8333,1210.31,1376.82,1.13758,169.4,0.1694
Beijing,35.4,0.996605913780471,0.8,2,coal,3.8333,1210.31,1376.82,1.13758,1001.0,1.001
Beijing,35.4,0.996605913780471,0.8,4,qinghai,3.7431,1254.4,1426.99,1.13759,175.5,0.1755
Beijing,35.4,0.996605913780471,0.8,4,coal,3.7431,1254.4,1426.99,1.13759,1037.2,1.0372
Beijing,35.4,0.996605913780471,0.8,8,qinghai,3.6823,1274.84,1450.26,1.1376,178.4,0.1784
Beijing,35.4,0.996605913780471,0.8,8,coal,3.6823,1274.84,1450.26,1.1376,1054.0,1.054
Beijing,35.4,0.996605913780471,0.8,16,qinghai,3.648,1284.67,1461.44,1.1376,179.8,0.1798
Beijing,35.4,0.996605913780471,0.8,16,coal,3.648,1284.67,1461.44,1.1376,1062.0,1.062
Beijing,35.4,0.996605913780471,0.8,32,qinghai,3.6299,1289.48,1466.92,1.13761,180.4,0.1804
Beijing,35.4,0.996605913780471,0.8,32,coal,3.6299,1289.48,1466.92,1.13761,1065.9,1.0659
Beijing,35.4,0.996605913780471,0.8,64,qinghai,3.6206,1291.86,1469.63,1.13761,180.8,0.1808
Beijing,35.4,0.996605913780471,0.8,64,coal,3.6206,1291.86,1469.63,1.13761,1067.9,1.0679
Beijing,35.4,0.996605913780471,0.9,1,qinghai,3.8889,1109.33,1255.0,1.13131,154.4,0.1544
Beijing,35.4,0.996605913780471,0.9,1,coal,3.8889,1109.33,1255.0,1.13131,912.6,0.9126
Beijing,35.4,0.996605913780471,0.9,2,qinghai,3.8333,1210.31,1369.24,1.13131,168.5,0.1685
Beijing,35.4,0.996605913780471,0.9,2,coal,3.8333,1210.31,1369.24,1.13131,995.5,0.9955
Beijing,35.4,0.996605913780471,0.9,4,qinghai,3.7431,1254.4,1419.13,1.13132,174.6,0.1746
